CNT,CNTRYID,CNTSCHID,CNTSTUID,ESCS,ST004D01T,ST001D01T,REPEAT,DISCLIM,TEACHSUP,COGACRCO,COGACMCO,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
COL,170.0,17000240.0,17000119.0,-3.1473,2.0,9.0,1.0,-0.963,-0.1002,-0.4108,-0.2957,73.13095,277.531,352.005,329.706,302.178,302.931,304.666,318.467,344.198,326.702,307.938
COL,170.0,17000043.0,17000120.0,-0.8344,2.0,10.0,0.0,0.1166,-1.7015,0.0937,-2.1598,62.78033,417.13,465.106,435.785,467.769,477.342,466.27,443.873,496.16,440.152,482.334
COL,170.0,17000072.0,17000121.0,-3.5738,1.0,11.0,0.0,-0.1006,-0.5635,-0.0635,-0.5776,8.76235,385.276,367.317,374.399,366.93,424.533,371.008,435.339,388.016,380.683,374.692
COL,170.0,17000027.0,17000122.0,-1.7533,2.0,10.0,0.0,1.8217,1.5558,0.316,1.1223,19.72939,386.909,330.622,344.785,388.334,362.128,379.819,382.714,338.442,387.54,345.738
COL,170.0,17000182.0,17000123.0,-2.6772,1.0,10.0,0.0,1.5734,1.5558,0.5749,1.019,83.2001,315.374,369.244,330.097,361.773,319.99,313.885,280.595,314.273,357.637,336.66
COL,170.0,17000082.0,17000125.0,-0.9692,2.0,9.0,1.0,0.123,-0.3322,-0.4506,0.2293,49.51784,327.504,337.9,351.579,377.099,401.848,390.56,382.593,349.037,354.294,383.149
COL,170.0,17000016.0,17000126.0,0.4521,2.0,8.0,1.0,0.163,-0.1002,0.0213,-0.9224,41.68592,466.733,498.444,492.19,541.956,446.379,488.503,500.472,486.935,515.101,483.416
COL,170.0,17000020.0,17000127.0,-1.537,1.0,9.0,1.0,1.6491,1.5558,0.576,0.8215,49.03467,394.138,389.248,406.21,406.374,389.51,465.385,411.258,413.226,422.284,345.505
COL,170.0,17000065.0,17000128.0,-1.0608,1.0,10.0,0.0,0.123,1.5558,0.0863,-0.4599,82.42036,471.849,431.862,413.892,394.582,407.055,397.952,427.97,432.45,407.192,401.742
COL,170.0,17000138.0,17000129.0,1.0166,2.0,9.0,1.0,,,,,91.7593,359.315,364.951,337.986,357.172,354.185,394.734,337.161,364.045,351.794,327.943
COL,170.0,17000234.0,17000130.0,-4.039,1.0,10.0,0.0,-0.1114,-0.1002,-0.0497,0.2079,94.88695,398.076,339.597,395.313,373.32,351.366,392.676,369.403,352.958,361.637,328.615
COL,170.0,17000137.0,17000131.0,,2.0,11.0,,,,,,38.29305,569.021,571.858,524.975,538.181,569.568,528.891,611.386,521.744,532.811,570.284
COL,170.0,17000114.0,17000132.0,-2.0717,2.0,11.0,0.0,0.1997,-0.8059,0.1729,-0.1821,84.2847,414.653,413.137,425.536,395.608,404.457,449.517,429.863,415.559,440.923,388.713
COL,170.0,17000010.0,17000135.0,-1.3333,1.0,10.0,0.0,-0.8435,0.1475,-0.75,0.0374,74.39937,324.516,359.002,344.196,323.502,331.166,321.251,317.424,308.039,346.903,345.64
COL,170.0,17000200.0,17000136.0,-3.2219,2.0,11.0,0.0,0.6533,1.5558,-0.0811,-0.4634,149.477,475.493,499.344,503.592,492.505,470.675,470.461,480.79,430.611,485.578,479.714
COL,170.0,17000052.0,17000137.0,1.207,1.0,9.0,0.0,-0.84,0.4357,-0.3104,0.7076,45.30834,473.253,490.154,509.681,474.701,502.41,500.099,497.661,522.487,514.621,488.896
